@relation R_data_frame

@attribute WeekDay string
@attribute Hour string
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceInfo string
@attribute MobileDeviceManuf string
@attribute visitNumber numeric
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
1,15,11-20,Android,he,'Samsung SM-J500F Galaxy J5','Samsung ',151,51+,google,organic,'Organic Search',(none),MOBILE_WEB,418,13,0,1,0,1,1,0,0,0
1,19,41-50,Android,en,'Samsung SM-A510F Galaxy A5 2016 Duos','Samsung ',3,3,google,organic,'Organic Search',(none),MOBILE_WEB,1339,27,0,1,0,1,1,0,0,0
6,3,21-30,Android,he,'Samsung SM-G920F Galaxy S6','Samsung ',152,51+,google,organic,'Organic Search',(none),MOBILE_WEB,0,1,0,1,0,0,0,0,0,0
5,23,11-20,Android,he,'Motorola XT1072 Moto G 4G (2nd Gen)','Motorola ',6,6-10,google,organic,'Organic Search',(none),MOBILE_WEB,5280,95,0,1,0,1,0,0,0,0
7,8,51-60,Android,he,'Samsung SM-G920F Galaxy S6','Samsung ',17,11-20,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,86.666667,6,0,1,0,1,0,0,0,0
3,21,31-40,Android,he,'Samsung SM-J320H Galaxy J3 Duos','Samsung ',45,21-50,(direct),(none),Direct,(none),MOBILE_WEB,1341.666667,22.333333,0,1,0,0,0,0,0,0
4,5,41-50,Android,he,'Samsung SM-G900F Galaxy S5','Samsung ',62,51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,140.5,8,0,1,0,1,1,0,0,0
4,20,31-40,iOS,he,'Apple iPhone','Apple ',3,3,(direct),(none),Direct,(none),MOBILE_APP_IOS,844,25.5,0,1,0,1,0,0,0,0
2,8,21-30,Android,he,'LG H815 G4','LG ',26,21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,83,8.5,0,1,0,0,1,0,0,0
4,2,31-40,Android,en,'Samsung SM-J710F Galaxy J7 (2016)','Samsung ',16,11-20,google,organic,'Organic Search',(none),MOBILE_WEB,0,1,0,1,0,1,0,0,0,0
