@relation R_data_frame

@attribute WeekDay numeric
@attribute Hour numeric
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceManuf string
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
3,7,01-10,Android,ru,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,14,1,0,0,0,0,0,0,0,0
4,21,01-10,Android,he,'Samsung ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,1668,7,0,0,0,0,0,0,0,0
3,11,01-10,Android,he,'Samsung ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,1023,7.5,0,0,0,0,0,0,0,0
5,17,41-50,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,226,11,0,1,0,0,1,0,0,0
6,6,01-10,iOS,he,'Apple ',2,(direct),(none),Direct,(none),MOBILE_WEB,528,25,0,1,0,0,1,0,0,0
6,17,21-30,iOS,he,'Apple ',3,(direct),(none),Direct,(none),MOBILE_WEB,670,29.666667,0,1,0,0,1,0,0,0
7,8,31-40,iOS,he,'Apple ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,686,31.75,0,1,0,0,1,0,0,0
7,16,01-10,iOS,he,'Apple ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,608.4,28,0,1,0,0,1,0,0,0
7,17,01-10,iOS,he,'Apple ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,631.333333,24.833333,0,1,0,0,1,0,0,0
1,5,41-50,iOS,he,'Apple ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,541.142857,21.428571,0,0,0,0,0,0,0,0
1,7,11-20,iOS,he,'Apple ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,562.375,23.125,0,1,0,0,1,0,0,0
5,18,41-50,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,418,19,0,0,0,0,0,0,0,0
5,10,11-20,Android,he,'Samsung ',21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,0,1,0,0,0,0,0,0,0,0
5,7,31-40,Android,he,'Samsung ',51+,google,cpc,'Paid Search','Yad2 - Brand+Product',MOBILE_WEB,185,6,0,1,0,0,0,0,0,0
7,9,01-10,iOS,he,'Apple ',1,google,organic,'Organic Search',(none),MOBILE_WEB,1336,10,0,1,0,1,1,0,0,0
4,8,41-50,Android,he,'Samsung ',2,google,cpc,'Paid Search','Yad2 - Brand E',MOBILE_WEB,0,1,0,0,1,0,0,0,0,0
4,8,41-50,Android,he,'Samsung ',3,google,organic,'Organic Search',(none),MOBILE_WEB,13.5,1,0,1,0,0,0,0,0,0
5,17,41-50,Android,he,'Samsung ',4-5,google,organic,'Organic Search',(none),MOBILE_WEB,201,2.666667,0,0,1,0,0,0,0,0
4,9,31-40,iOS,he,'Apple ',51+,(direct),(none),Direct,(none),MOBILE_APP_IOS,66,4,0,0,0,0,0,0,0,0
1,14,21-30,iOS,he,'Apple ',51+,(direct),(none),Direct,(none),MOBILE_APP_IOS,33,2.5,0,0,0,0,0,0,0,0
2,8,51-60,iOS,he,'Apple ',21-50,google,organic,'Organic Search',(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,0
2,1,41-50,Android,he,'(not ',4-5,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,199,3,0,1,0,0,0,0,0,0
7,18,51-60,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,1023,27,1,0,0,0,0,0,0,0
1,12,11-20,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,511.5,14,0,0,0,0,0,0,0,0
3,13,51-60,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,376.333333,10.666667,1,0,0,0,0,0,0,0
3,16,01-10,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,482.5,13.25,1,0,0,0,0,0,0,0
2,7,31-40,Android,he,'Samsung ',11-20,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,0,1,0,0,0,0,0,0,0,0
4,20,01-10,Android,ru,'Samsung ',21-50,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,186,12,0,1,0,0,0,0,0,0
5,13,01-10,Android,ru,'Samsung ',21-50,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,93,6.5,0,0,0,0,0,0,0,0
1,7,51-60,Android,ru,'Samsung ',21-50,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,113.333333,6.666667,0,1,0,0,0,0,0,0
3,4,51-60,iOS,en,'Apple ',1,google,cpc,'Paid Search','Yad2 - מחירון רכב שוטף',MOBILE_WEB,635,3,0,0,0,0,0,0,0,0
5,23,41-50,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,0
7,15,01-10,Android,he,'Samsung ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,0
3,16,51-60,Android,he,'Samsung ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,0
3,17,51-60,Android,he,'Samsung ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,0
3,18,51-60,Android,he,'Samsung ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,20.5,1.5,0,0,0,0,0,0,0,0
3,22,21-30,Android,he,'Samsung ',4-5,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,822,14,1,0,1,0,0,0,0,0
4,10,21-30,Android,he,'Samsung ',4-5,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,630,22.5,0,0,0,0,0,0,0,0
6,10,11-20,Android,he,'Samsung ',6-10,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,642.333333,22.333333,0,0,0,0,0,0,0,0
6,20,11-20,Android,he,'Samsung ',6-10,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,583,24.5,0,0,0,0,0,0,0,0
7,9,41-50,Android,he,'Samsung ',6-10,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,674.2,22.8,0,0,0,0,0,0,0,0
4,10,51-60,iOS,he,'Apple ',21-50,google,organic,'Organic Search',(none),MOBILE_WEB,1645,25,0,1,0,1,0,0,0,0
5,10,31-40,iOS,he,'Apple ',21-50,google,organic,'Organic Search',(none),MOBILE_WEB,901,16.5,0,1,0,1,0,0,0,0
1,16,51-60,Android,he,'LG ',1,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,273,22,1,1,0,0,0,0,0,0
1,11,11-20,Android,he,'Samsung ',21-50,google,organic,'Organic Search',(none),MOBILE_WEB,509,7,0,0,0,0,0,0,0,0
1,20,01-10,Android,he,'Samsung ',21-50,google,organic,'Organic Search',(none),MOBILE_WEB,254.5,4,0,0,0,0,0,0,0,0
2,7,21-30,Android,he,'Samsung ',21-50,google,organic,'Organic Search',(none),MOBILE_WEB,202,4.666667,1,0,0,0,0,0,0,0
2,20,31-40,Android,he,'Samsung ',21-50,google,organic,'Organic Search',(none),MOBILE_WEB,180.75,4.5,0,0,0,0,0,0,0,0
5,15,01-10,iOS,en,'Apple ',1,google,organic,'Organic Search',(none),MOBILE_WEB,0,1,0,1,0,0,0,0,0,0
1,12,01-10,iOS,he,'Apple ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,23,2,0,0,0,0,0,0,0,0
2,15,31-40,iOS,he,'Apple ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,11.5,1.5,0,0,0,0,0,0,0,0
3,10,31-40,iOS,he,'Apple ',1,google,organic,'Organic Search',(none),MOBILE_WEB,88,2,0,1,0,0,0,0,0,0
3,11,51-60,iOS,he,'Apple ',2,google,organic,'Organic Search',(none),MOBILE_WEB,44,1.5,0,0,0,0,0,0,0,0
2,17,51-60,Android,he,'Samsung ',2,(direct),(none),Direct,(none),MOBILE_WEB,54,3,0,0,0,0,0,0,0,0
4,15,01-10,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,164,8,1,0,0,0,0,0,0,0
4,17,11-20,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,925,22,1,0,0,0,0,0,0,0
4,18,31-40,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,719,18.666667,1,0,0,0,0,0,0,0
4,21,21-30,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,640,18,1,0,0,0,0,0,0,0
5,21,31-40,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,850.333333,25.666667,1,0,0,0,0,0,0,0
5,21,31-40,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,850.333333,25.666667,1,0,0,0,0,0,0,0
5,21,31-40,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,850.333333,25.666667,1,0,0,0,0,0,0,0
5,21,31-40,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,850.333333,25.666667,1,0,0,0,0,0,0,0
5,22,01-10,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,771.8,24.2,1,0,0,0,0,0,0,0
5,22,01-10,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,771.8,24.2,1,0,0,0,0,0,0,0
5,22,01-10,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,771.8,24.2,1,0,0,0,0,0,0,0
5,22,01-10,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,771.8,24.2,1,0,0,0,0,0,0,0
6,10,31-40,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,757,23.909091,1,0,0,0,0,0,0,0
6,17,51-60,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,804.75,26.5,1,0,0,0,0,0,0,0
6,21,31-40,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,765.153846,25,1,0,0,0,0,0,0,0
7,9,41-50,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,746.785714,24.285714,1,0,0,0,0,0,0,0
